Name,Rtg,Pos,Club,League,Nationality,DIV,HAN,KIC,REF,SPE,POS,WF,Skill
Jorn Brondeel,66,GK,Willem II,Eredivisie,BEL,68,64,60,70,43,62,2,1
Dominik Hładun,66,GK,KGHM Zagłębie Lubin,PKO Ekstraklasa,POL,66,65,63,67,34,64,3,1
Rubén Yáñez,66,GK,Getafe CF,LaLiga Santander,ESP,65,64,60,68,44,64,3,1
William Eskelinen,66,GK,Aarhus AGF,3F Superliga,SWE,67,61,67,69,32,65,2,1
Axel Maraval,66,GK,USL Dunkerque,Ligue 2 BKT,FRA,71,59,57,70,41,69,2,1
Brian Rowe,66,GK,Orlando City Soccer Club,MLS,USA,65,66,63,68,51,65,2,1
Mustafa Malaeka,66,GK,Al Faisaly,MBS Pro League,SAR,65,64,66,67,47,65,4,1
Fawaz Al Qarni,66,GK,Al Ittihad,MBS Pro League,SAR,66,63,61,70,44,66,3,1
Nicolò Manfredini,66,GK,Benevento,Serie A TIM,ITA,69,64,63,69,45,63,2,1
Zlatan Alomerović,66,GK,Lechia Gdańsk,PKO Ekstraklasa,SRB,65,66,63,68,37,63,3,1
Ryan Meara,66,GK,New York Red Bulls,MLS,USA,65,64,61,70,46,66,3,1
Evan Bush,66,GK,Impact Montréal,MLS,USA,68,63,63,69,32,64,2,1
Maksym Koval,66,GK,Al Fateh,MBS Pro League,UKR,67,63,63,69,45,65,2,1
Donovan Léon,66,GK,AJ Auxerre,Ligue 2 BKT,FRA,64,64,62,70,47,64,2,1
Andreas Leitner,66,GK,FC Flyeralarm Admira,Ö. Bundesliga,AT,67,66,59,67,24,62,4,1
Jak Alnwick,66,GK,St. Mirren,Scottish Prem,ENG,66,63,65,66,46,66,2,1
Yu Sang Hun,66,GK,FC Seoul,K League 1,KOR,65,62,62,67,39,67,3,1
Alex Cairns,66,GK,Fleetwood Town,EFL League One,ENG,66,61,58,68,49,68,3,1
Connor Ripley,66,GK,Preston North End,EFL Championship,ENG,67,66,65,69,34,65,3,1
Zac MacMath,66,GK,Real Salt Lake,MLS,USA,66,64,54,67,37,67,2,1
Antonio Donnarumma,66,GK,Milan,Serie A TIM,ITA,70,62,51,74,17,59,2,1
Jakub Szumski,66,GK,Raków Częstochowa,PKO Ekstraklasa,POL,68,63,64,68,22,66,3,1
Ryan Allsop,66,GK,Wycombe Wanderers,EFL Championship,ENG,66,63,66,67,42,64,3,1
Matej Delač,66,GK,AC Horsens,3F Superliga,CRO,68,66,62,67,31,66,2,1
Tim Coremans,66,GK,Sparta Rotterdam,Eredivisie,NED,68,65,63,66,36,64,2,1
Bobby Shuttleworth,66,GK,Chicago Fire Soccer Club,MLS,USA,65,66,64,66,43,66,2,1
Rémi Pillot,66,GK,Châteauroux,Ligue 2 BKT,FRA,66,66,58,65,38,65,2,1
Dennis Telgenkamp,66,GK,FC Emmen,Eredivisie,NED,68,63,60,65,34,64,2,1
Arild Østbø,66,GK,Viking FK,Eliteserien,NOR,66,64,62,67,24,61,2,1
Martin Hansen,66,GK,Hannover 96,Bundesliga 2,DEN,65,64,64,66,50,65,3,1
Martin Kobras,66,GK,SC Rheindorf Altach,Ö. Bundesliga,AT,68,62,56,71,51,65,3,1
Lukas Königshofer,66,GK,KFC Uerdingen 05,3. Liga,AT,68,64,58,68,53,62,2,1
Jens Grahl,66,GK,VfB Stuttgart,Bundesliga,GER,70,60,58,70,44,63,2,1
Guan Zhen,66,GK,Shenzhen Kaisa,CSL,CPR,74,64,65,59,50,65,1,1
Chris Seitz,66,GK,D.C. United,MLS,USA,67,61,71,66,53,69,3,1
Patric Klandt,66,GK,1. FC Nürnberg,Bundesliga 2,GER,66,67,63,64,41,66,3,1
Simon Eastwood,66,GK,Oxford United,EFL League One,ENG,64,61,61,68,50,66,3,1
James McKeown,66,GK,Grimsby Town,EFL League Two,IRL,66,61,58,68,44,65,3,1
Iven Austbø,66,GK,Viking FK,Eliteserien,NOR,64,63,65,65,25,67,2,1
David Martin,66,GK,West Ham United,Premier League,ENG,66,62,66,65,40,66,2,1
Alan Mannus,66,GK,Shamrock Rovers,SSE Airtricity Lge,NIR,64,68,62,64,36,67,3,1
Eldin Jakupović,66,GK,Leicester City,Premier League,SUI,66,66,64,65,30,66,2,1
Joe Day,65,GK,Newport County,EFL League Two,ENG,68,59,58,70,54,66,2,1
Joe Day,65,GK,Bristol Rovers,EFL League One,ENG,68,59,58,70,54,66,2,1
Sam Walker,65,GK,AFC Wimbledon,EFL League One,ENG,66,66,62,63,42,65,2,1
Tim Rönning,65,GK,IF Elfsborg,Allsvenskan,SWE,65,67,63,69,17,65,3,1
Danijel Petković,65,GK,Angers SCO,Ligue 1 Uber Eats,MON,66,63,63,67,41,66,3,1
Anthony Maisonnial,65,GK,Paris FC,Ligue 2 BKT,FRA,63,63,63,69,62,63,3,1
Miguel Oliveira,65,GK,Moreirense FC,Liga NOS,POR,64,65,62,65,27,67,2,1
Matt Macey,65,GK,Arsenal,Premier League,ENG,63,65,65,66,39,64,2,1
Joe Day,65,GK,Cardiff City,EFL Championship,ENG,68,59,58,70,54,66,2,1
Sam Walker,65,GK,Reading,EFL Championship,ENG,66,66,62,63,42,65,2,1
Tomáš Holý,65,GK,Ipswich Town,EFL League One,CZ,68,60,56,69,26,65,3,1
Colin Doyle,65,GK,Kilmarnock,Scottish Prem,IRL,66,67,63,63,32,64,3,1
Ufuk Ceylan,65,GK,Alanyaspor,Süper Lig,TUR,66,65,62,62,55,67,2,1
Alex Palmer,65,GK,West Bromwich Albion,Premier League,ENG,66,65,64,66,30,64,3,1
Felix Dornebusch,65,GK,Fortuna Sittard,Eredivisie,GER,67,60,54,66,41,64,2,1
Patrick Drewes,65,GK,SV Sandhausen,Bundesliga 2,GER,68,63,60,62,30,64,2,1
Lee Nicholls,65,GK,Huddersfield Town,EFL Championship,ENG,67,62,63,69,41,61,3,1
Connal Trueman,65,GK,Swindon Town,EFL League One,ENG,66,64,61,68,46,63,3,1
Juan Espínola,65,GK,Godoy Cruz,Primera División,PAR,63,68,66,66,28,65,2,1
Ahn Joon Soo,65,GK,Busan IPark,K League 1,KOR,64,63,62,66,28,64,2,1
Connal Trueman,65,GK,Birmingham City,EFL Championship,ENG,66,64,61,68,46,63,3,1
Yohei Takaoka,65,GK,Yokohama F・Marinos,Meiji Yasuda J1,JAP,66,64,58,68,23,59,2,1
Aynsley Pears,65,GK,Blackburn Rovers,EFL Championship,ENG,63,61,61,69,15,63,2,1
Vincent Müller,65,GK,PSV,Eredivisie,GER,67,64,64,70,31,66,2,1
Jun Ichimori,65,GK,Gamba Osaka,Meiji Yasuda J1,JAP,66,61,58,67,32,65,3,1
Joan Femenías,65,GK,R. Oviedo,LaLiga SmartBank,ESP,65,66,59,67,20,60,2,1
Marian Aioani,65,GK,AFC Chindia Târgoviște,Liga I,ROM,66,62,62,67,24,64,2,1
Christian Sánchez,65,GK,R. Sporting,LaLiga SmartBank,CUB,66,64,58,67,37,65,2,1
Samu Pérez,65,GK,R. Valladolid CF,LaLiga Santander,ESP,66,66,63,74,23,62,3,1
Yohei Takaoka,65,GK,Sagan Tosu,Meiji Yasuda J1,JAP,66,64,58,68,23,59,2,1
Hidajet Hankić,65,GK,AFC Botoșani,Liga I,AT,64,68,69,65,34,60,4,1
André Ferreira,65,GK,Santa Clara,Liga NOS,POR,66,65,55,68,38,63,2,1
Sébastien Cibois,65,GK,Stade Brestois 29,Ligue 1 Uber Eats,FRA,65,62,66,69,34,61,3,1
Ricardo Friedrich,65,GK,MKE Ankaragücü,Süper Lig,BRA,66,62,64,66,31,64,1,1
Aynsley Pears,65,GK,Middlesbrough,EFL Championship,ENG,63,61,61,69,15,63,2,1
Kristoffer Klaesson,65,GK,Vålerenga Fotball,Eliteserien,NOR,66,61,63,68,32,64,2,1
Ahn Joon Soo,65,GK,Cerezo Osaka,Meiji Yasuda J1,KOR,64,63,62,66,28,64,2,1
Takuo Okubo,65,GK,Shimizu S-Pulse,Meiji Yasuda J1,JAP,63,57,58,68,26,70,1,1
Pablo Sisniega,65,GK,LAFC,MLS,MEX,63,68,64,63,44,65,2,1
Đorđe Nikolić,65,GK,FC Basel 1893,RSL,SRB,65,68,62,67,21,65,5,1
Hiroki Iikura,65,GK,Vissel Kobe,Meiji Yasuda J1,JAP,65,64,58,64,25,65,2,1
Takuto Hayashi,65,GK,Sanfrecce Hiroshima,Meiji Yasuda J1,JAP,60,67,60,61,27,70,2,1
Yuji Rokutan,65,GK,Yokohama FC,Meiji Yasuda J1,JAP,64,64,58,63,32,63,1,1
Andorinha,65,GK,Granada CF,LaLiga Santander,POR,67,63,56,66,24,63,1,1
Ramiro Macagno,65,GK,Newell's Old Boys,Primera División,ARG,66,64,58,68,27,64,2,1
Edson Reséndez,65,GK,Rayados de Monterrey,LIGA BBVA MX,MEX,64,63,64,67,32,64,3,1
Peter Vindahl Jensen,65,GK,FC Nordsjælland,3F Superliga,DEN,65,63,67,66,20,65,3,1
Julian Faye Lund,65,GK,Rosenborg BK,Eliteserien,NOR,64,63,62,68,43,65,2,1
Jérémy Vachoux,65,GK,USL Dunkerque,Ligue 2 BKT,FRA,66,62,62,66,43,63,2,1
Varo,65,GK,CD Lugo,LaLiga SmartBank,ESP,61,62,63,68,40,64,2,1
Dimitry Bertaud,65,GK,Montpellier Hérault SC,Ligue 1 Uber Eats,FRA,67,62,58,71,51,61,3,1
John McCarthy,65,GK,Inter Miami CF,MLS,USA,66,64,58,68,35,63,2,1
Siyabonga Mpontshane,65,GK,Orlando Pirates,South African FL,SAF,66,63,62,71,47,65,3,1
Bradley Collins,65,GK,Barnsley,EFL Championship,ENG,66,60,63,67,43,63,2,1
Connal Trueman,65,GK,AFC Wimbledon,EFL League One,ENG,66,64,61,68,46,63,3,1
James Talbot,65,GK,Bohemian FC,SSE Airtricity Lge,IRL,64,63,59,67,43,62,2,1
Ezkieta,65,GK,Athletic Club,LaLiga Santander,ESP,63,64,63,63,44,67,3,1
Dong Chunyu,65,GK,Wuhan Zall Professional FC,CSL,CPR,65,64,66,65,45,65,3,1
Alex Palmer,65,GK,Lincoln City,EFL League One,ENG,66,65,64,66,30,64,3,1
Okan Kocuk,65,GK,Galatasaray SK,Süper Lig,TUR,66,68,61,68,33,62,2,1
Will Norris,65,GK,Burnley,Premier League,ENG,67,62,60,67,44,63,3,1
Zou Dehai,65,GK,Beijing Sinobo Guoan FC,CSL,CPR,62,64,60,67,46,65,3,1
Joe Wildsmith,65,GK,Sheffield Wednesday,EFL Championship,ENG,70,59,62,69,42,65,3,1
Felix Dornebusch,65,GK,Eintracht Braunschweig,Bundesliga 2,GER,67,60,54,66,41,64,2,1
Thomas Mikkelsen,65,GK,Lyngby BK,3F Superliga,DEN,66,65,67,63,39,66,3,1
Clint Irwin,65,GK,Colorado Rapids,MLS,USA,66,64,64,64,46,63,1,1
Marko Marić,65,GK,Houston Dynamo,MLS,CRO,65,64,65,68,43,66,3,1
Yun Pyeong Gook,65,GK,GwangJu FC,K League 1,KOR,64,65,63,65,47,63,3,1
René Vollath,65,GK,Türkgücü,3. Liga,GER,64,62,60,67,39,66,3,1
Lee Chang Geun,65,GK,Sangju Sangmu FC,K League 1,KOR,66,64,63,66,45,62,3,1
Patrick Drewes,65,GK,VfL Bochum 1848,Bundesliga 2,GER,68,63,60,62,30,64,2,1
Thomas Castella,65,GK,Lausanne-Sport,RSL,SUI,66,63,62,70,45,65,2,1
Manuel Kuttin,65,GK,RZ Pellets Wolfsberger AC,Ö. Bundesliga,AT,67,62,68,66,34,63,3,1
Patrick Wiegers,65,GK,SG Dynamo Dresden,3. Liga,GER,65,66,61,68,45,59,2,1
Théo Defourny,65,GK,KAS Eupen,1A Pro League,BEL,63,64,65,64,35,66,2,1
Christy Pym,65,GK,Peterborough United,EFL League One,ENG,66,63,65,69,46,64,4,1
Pol Freixanet,65,GK,CF Fuenlabrada,LaLiga SmartBank,ESP,64,69,59,66,47,60,2,1
André Weis,65,GK,FC Viktoria Köln,3. Liga,GER,67,64,63,70,38,56,2,1
Matt Ingram,65,GK,Hull City,EFL League One,ENG,69,64,62,68,36,63,3,1
Clément Diop,65,GK,Impact Montréal,MLS,SEN,68,63,60,67,43,63,2,1
Paul Delecroix,65,GK,FC Metz,Ligue 1 Uber Eats,FRA,64,65,62,65,28,66,4,1
Benjamin Siegrist,65,GK,Dundee United,Scottish Prem,SUI,65,65,64,64,37,64,3,1
Jimmy Maurer,65,GK,FC Dallas,MLS,USA,67,64,65,69,39,67,3,1
Joe Bendik,65,GK,Philadelphia Union,MLS,USA,67,62,63,65,36,63,3,1
Konrad Forenc,65,GK,KGHM Zagłębie Lubin,PKO Ekstraklasa,POL,66,66,64,66,42,63,2,1
Aykut Özer,65,GK,Karagümrük SK,Süper Lig,TUR,66,64,62,64,47,63,3,1
Hobie Verhulst,65,GK,AZ,Eredivisie,NED,66,61,64,68,48,63,3,1
Daniel Batz,65,GK,Saarbrück.,3. Liga,GER,66,63,66,67,35,59,3,1
Campos,65,GK,CD Castellón,LaLiga SmartBank,ESP,69,66,61,64,29,62,3,1
Lee Nicholls,65,GK,Milton Keynes Dons,EFL League One,ENG,67,62,63,69,41,61,3,1
James Shea,65,GK,Luton Town,EFL Championship,ENG,64,63,58,66,27,66,2,1
Michał Buchalik,65,GK,Wisła Kraków,PKO Ekstraklasa,POL,65,63,62,66,32,67,3,1
Kim Ho Jun,65,GK,Busan IPark,K League 1,KOR,64,63,66,64,53,65,3,1
Michał Gliwa,65,GK,PGE Stal Mielec,PKO Ekstraklasa,POL,64,62,62,67,30,68,2,1
Daniel Vega,65,GK,San Jose Earthquakes,MLS,ARG,66,62,64,64,24,62,2,1
Jonas Deumeland,65,GK,IK Start,Eliteserien,GER,65,65,66,66,50,62,2,1
Cheng Yuelei,65,GK,Guangzhou R&F FC,CSL,CPR,65,65,59,64,34,62,2,1
Richard O'Donnell,65,GK,Bradford City,EFL League Two,ENG,62,64,62,65,52,64,3,1
Andreas Lukse,65,GK,1. FC Nürnberg,Bundesliga 2,AT,66,62,60,68,41,64,3,1
Simon Pontdemé,65,GK,FC Chambly Oise,Ligue 2 BKT,FRA,65,66,65,65,34,64,2,1
Robert Zwinkels,65,GK,ADO Den Haag,Eredivisie,NED,61,63,64,65,39,70,2,1
Radosław Cierzniak,65,GK,Legia Warszawa,PKO Ekstraklasa,POL,65,65,61,63,38,68,2,1
Tomáš Černý,65,GK,Aberdeen,Scottish Prem,CZ,63,63,60,64,45,65,2,1
Stephen Henderson,65,GK,Crystal Palace,Premier League,IRL,66,62,70,62,41,64,3,1
Hitoshi Sogahata,65,GK,Kashima Antlers,Meiji Yasuda J1,JAP,64,66,64,65,18,72,3,1
Dean Gerken,65,GK,Colchester United,EFL League Two,ENG,64,63,65,63,48,66,3,1
Michael Langer,65,GK,FC Schalke 04,Bundesliga,AT,64,62,60,65,31,67,2,1
Håkon Opdal,65,GK,SK Brann,Eliteserien,NOR,62,63,64,65,40,66,2,1
Glenn Morris,65,GK,Crawley Town,EFL League Two,ENG,67,63,62,66,33,64,3,1
Octavian Vâlceanu,64,GK,CS Gaz Metan Mediaș,Liga I,ROM,66,65,60,63,25,66,2,1
Dragan Rosić,64,GK,UD Almería,LaLiga SmartBank,SRB,60,62,68,66,30,65,2,1
Gabriel Brazão,64,GK,Inter,Serie A TIM,BRA,61,65,59,67,27,62,3,1
Ron-Thorben Hoffmann,64,GK,FC Bayern München,Bundesliga,GER,61,62,66,67,25,64,3,1
Moritz Nicolas,64,GK,Borussia Mönchengladbach,Bundesliga,GER,68,65,62,65,21,59,2,1
İsmail Çipe,64,GK,Galatasaray SK,Süper Lig,TUR,63,66,64,64,45,64,2,1
Steve Kroll,64,GK,SV Darmstadt 98,Bundesliga 2,GER,64,62,59,65,37,62,3,1
Mark Oxley,64,GK,Harrogate Town,EFL League Two,ENG,65,64,64,65,30,64,2,1
Enrique Palos,64,GK,Tigres de la UANL,LIGA BBVA MX,MEX,65,51,54,67,41,68,2,1
Scott Brown,64,GK,Exeter City,EFL League Two,ENG,64,62,60,64,51,63,1,1
Luca Plogmann,64,GK,SV Werder Bremen,Bundesliga,GER,66,61,61,67,40,58,4,1
Marcin Bułka,64,GK,Châteauroux,Ligue 2 BKT,POL,65,61,62,69,27,60,2,1
Eirik Holmen Johansen,64,GK,SK Brann,Eliteserien,NOR,60,63,65,69,26,61,3,1
Cody Cropper,64,GK,FC Cincinnati,MLS,USA,67,62,61,66,35,61,3,1
Jon Kempin,64,GK,D.C. United,MLS,USA,63,63,64,66,57,64,2,1
Edgar Hernández,64,GK,Club Necaxa,LIGA BBVA MX,MEX,71,54,60,66,57,63,3,1
David Gil,64,GK,Cádiz CF,LaLiga Santander,ESP,66,68,67,63,47,59,2,1
Anthony Racioppi,64,GK,Dijon FCO,Ligue 1 Uber Eats,SUI,63,64,62,66,30,60,2,1
Marcin Bułka,64,GK,FC Cartagena,LaLiga SmartBank,POL,65,61,62,69,27,60,2,1
Abdullah Al Jadani,64,GK,Al Hilal,MBS Pro League,SAR,65,60,57,65,49,62,3,1
Cătălin Straton,64,GK,FC FCSB,Liga I,ROM,64,59,60,66,31,64,2,1
Maduka Okoye,64,GK,Sparta Rotterdam,Eredivisie,NIG,64,57,58,71,23,61,3,1
Felipe López,64,GK,Fútbol Club Juárez,LIGA BBVA MX,MEX,60,62,61,68,28,65,2,1
Yuta Minami,64,GK,Yokohama FC,Meiji Yasuda J1,JAP,62,64,63,62,30,66,2,1
Dragan Rosić,64,GK,CF Fuenlabrada,LaLiga SmartBank,SRB,60,62,68,66,30,65,2,1
Tarık Çetin,64,GK,Çaykur Rizespor,Süper Lig,TUR,64,65,60,73,20,62,2,1
Octavian Vâlceanu,64,GK,FC Academica Clinceni,Liga I,ROM,66,65,60,63,25,66,2,1
Togo Umeda,64,GK,Shimizu S-Pulse,Meiji Yasuda J1,JAP,66,58,56,70,29,57,2,1
Takanori Sugeno,64,GK,Hokkaido Consadole Sapporo,Meiji Yasuda J1,JAP,65,62,57,63,34,64,2,1
Gabriel Brazão,64,GK,R. Oviedo,LaLiga SmartBank,BRA,61,65,59,67,27,62,3,1
Sébastien Rénot,64,GK,ESTAC Troyes,Ligue 2 BKT,FRA,61,63,62,65,34,65,3,1
Avdo Spahić,64,GK,1. FC Kaiserslautern,3. Liga,BOS,63,62,60,66,28,69,3,1
Anthony Racioppi,64,GK,Olympique Lyonnais,Ligue 1 Uber Eats,SUI,63,64,62,66,30,60,2,1
Conor Hazard,64,GK,Celtic,Scottish Prem,NIR,64,65,64,66,24,66,3,1
Ron-Thorben Hoffmann,64,GK,FC Bayern München II,3. Liga,GER,61,62,66,67,25,64,3,1
Daiya Maekawa,64,GK,Vissel Kobe,Meiji Yasuda J1,JAP,64,57,56,67,26,66,3,1
Steven Benda,64,GK,Swansea City,EFL Championship,GER,64,63,59,67,37,64,3,1
Over Mandanda,64,GK,FC Girondins de Bordeaux,Ligue 1 Uber Eats,DRC,67,63,59,66,27,63,2,1
Franco Torgnascioli,64,GK,Pachuca,LIGA BBVA MX,URU,64,61,63,71,27,60,3,1
Luca Plogmann,64,GK,SV Meppen,3. Liga,GER,66,61,61,67,40,58,4,1
Kevin Kunz,64,GK,SSV Jahn Regensburg,Bundesliga 2,GER,67,63,51,64,28,64,3,1
Marcin Bułka,64,GK,Paris Saint-Germain,Ligue 1 Uber Eats,POL,65,61,62,69,27,60,2,1
Delano van Crooij,64,GK,VVV-Venlo,Eredivisie,NED,66,65,60,63,24,65,4,1
Miguel Ortega,64,GK,Tigres de la UANL,LIGA BBVA MX,MEX,66,59,60,68,29,63,2,1
Lucas Dias,64,GK,Nîmes Olympique,Ligue 1 Uber Eats,FRA,65,63,59,64,17,63,2,1
Muhammed Şengezer,64,GK,İstanbul Başakşehir FK,Süper Lig,TUR,67,62,57,66,35,61,2,1
Robert Jendrusch,64,GK,FC Ingolstadt 04,3. Liga,GER,67,60,59,70,35,60,3,1
Moritz Nicolas,64,GK,VfL Osnabrück,Bundesliga 2,GER,68,65,62,65,21,59,2,1
Indy Groothuizen,64,GK,Vejle Boldklub,3F Superliga,NED,62,63,66,67,25,62,4,1
Thijmen Nijhuis,64,GK,FC Utrecht,Eredivisie,NED,66,60,62,63,17,62,3,1
Nicolas Kocik,64,GK,Valenciennes FC,Ligue 2 BKT,FRA,62,62,63,64,38,65,3,1
Santiago Hernández,64,GK,Club Atlas,LIGA BBVA MX,MEX,64,67,62,64,25,65,2,1
Mateusz Lis,64,GK,Wisła Kraków,PKO Ekstraklasa,POL,68,58,55,70,27,63,2,1
Quentin Braat,64,GK,Chamois Niortais FC,Ligue 2 BKT,FRA,68,66,62,67,26,59,2,1
Aritz Castro,64,GK,D. Alavés,LaLiga Santander,ESP,60,62,62,66,38,68,3,1
İsmail Çipe,64,GK,Kayserispor,Süper Lig,TUR,63,66,64,64,45,64,2,1
Martin Polaček,64,GK,Podbeskidzie,PKO Ekstraklasa,SVK,67,60,72,61,37,64,2,1
Helge Sandvik,64,GK,FK Haugesund,Eliteserien,NOR,62,64,63,62,39,62,2,1
Jack Walton,64,GK,Barnsley,EFL Championship,ENG,64,62,60,63,34,65,2,1
Übeyd Adıyaman,64,GK,Gençlerbirliği SK,Süper Lig,TUR,67,58,57,68,47,60,3,1
Gianfranco Gazzaniga,64,GK,SD Ponferradina,LaLiga SmartBank,ARG,66,64,63,61,52,62,4,1
Luke McGee,64,GK,Forest Green Rovers,EFL League Two,ENG,69,59,53,70,37,59,3,1
Steve Kroll,64,GK,SpVgg Unterhaching,3. Liga,GER,64,62,59,65,37,62,3,1
Timo Königsmann,64,GK,SV Waldhof Mannheim 07,3. Liga,GER,66,65,57,69,48,59,3,1
Alexandru Buzbuchi,64,GK,CS Gaz Metan Mediaș,Liga I,ROM,67,62,60,63,36,61,2,1
Damian Węglarz,64,GK,Jagiellonia Białystok,PKO Ekstraklasa,POL,66,62,61,66,32,60,2,1
Jonathan Mitchell,64,GK,Northampton Town,EFL League One,ENG,63,61,63,65,54,62,2,1
Alec Kann,64,GK,Atlanta United,MLS,USA,64,62,62,62,43,66,3,1
Brad Stuver,64,GK,New York City FC,MLS,USA,67,64,62,62,47,62,1,1
Mathias Dyngeland,64,GK,IF Elfsborg,Allsvenskan,NOR,65,63,58,65,41,60,3,1
Matt Lampson,64,GK,Columbus Crew SC,MLS,USA,62,65,65,65,46,65,2,1
Mehdi Jeannin,64,GK,FC Sochaux-Montbéliard,Ligue 2 BKT,ALG,66,62,65,66,49,61,2,1
Cody Cropper,64,GK,Houston Dynamo,MLS,USA,67,62,61,66,35,61,3,1
Richard Sánchez,64,GK,Sporting Kansas City,MLS,MEX,70,61,64,68,43,60,2,1
Jon Kempin,64,GK,Columbus Crew SC,MLS,USA,63,63,64,66,57,64,2,1
Scott Fox,64,GK,Motherwell,Scottish Prem,SCO,64,62,62,65,31,63,3,1
Eirik Holmen Johansen,64,GK,Kristiansund BK,Eliteserien,NOR,60,63,65,69,26,61,3,1
Tom Mickel,64,GK,Hamburger SV,Bundesliga 2,GER,64,62,64,65,46,61,2,1
Mark Oxley,64,GK,Southend United,EFL League Two,ENG,65,64,64,65,30,64,2,1
Yohann Thuram,64,GK,Amiens SC,Ligue 2 BKT,FRA,65,60,55,66,39,62,2,1
Josué Ayala,64,GK,Rosario Central,Primera División,ARG,66,65,65,66,34,58,2,1
Erik Domaschke,64,GK,SV Meppen,3. Liga,GER,65,64,64,63,38,61,2,1
Deng Xiaofei,64,GK,Chongqing Dangdai Lifan FC SWM Team,CSL,CPR,60,61,59,66,37,66,2,1
Cenk Gönen,64,GK,Denizlispor,Süper Lig,TUR,67,60,64,67,45,63,1,1
Fabián Assmann,64,GK,Club Atlético Aldosivi,Primera División,ARG,70,53,65,66,52,64,3,1
Enrique Palos,64,GK,Fútbol Club Juárez,LIGA BBVA MX,MEX,65,51,54,67,41,68,2,1
Edgar Hernández,64,GK,Club Atlas,LIGA BBVA MX,MEX,71,54,60,66,57,63,3,1
Thomas Gebauer,64,GK,LASK,Ö. Bundesliga,AT,63,65,61,60,35,66,3,1
Jakub Szmatuła,64,GK,Piast Gliwice,PKO Ekstraklasa,POL,60,62,61,63,31,66,3,1
Scott Brown,64,GK,Port Vale,EFL League Two,ENG,64,62,60,64,51,63,1,1
Reguero,64,GK,HJK Helsinki,Finnliiga,ESP,62,61,60,63,35,66,3,1
Matt Gilks,64,GK,Bolton Wanderers,EFL League Two,SCO,63,64,63,62,36,64,2,1
Andrés Mehring,64,GK,Club Atlético Central Córdoba,Primera División,ARG,60,61,63,64,47,65,2,1
Robby McCrorie,63,GK,Rangers FC,Scottish Prem,SCO,62,64,63,67,32,62,3,1
Dominik Reimann,63,GK,1. FC Magdeburg,3. Liga,GER,68,57,69,67,45,58,3,1
Liam Roberts,63,GK,Northampton Town,EFL League One,ENG,65,57,59,65,46,62,2,1
Florian Stritzel,63,GK,SV Wehen Wiesbaden,3. Liga,GER,68,57,42,63,34,66,3,1
Jack Bonham,63,GK,Stoke City,EFL Championship,IRL,64,60,67,65,43,66,3,1
Mouhamed Mbaye,63,GK,FC Porto,Liga NOS,SEN,67,58,56,68,23,55,3,1
Mejías,63,GK,FC Dinamo 1948,Liga I,ESP,63,64,65,64,55,62,2,1
Warleson,63,GK,KSV Cercle Brugge,1A Pro League,BRA,68,53,56,68,27,58,3,1
Iñaki Álvarez,63,GK,CA Osasuna,LaLiga Santander,ESP,63,67,61,65,26,64,3,1
Zafer Görgen,63,GK,Çaykur Rizespor,Süper Lig,TUR,66,60,60,69,24,64,3,1
Fabian de Keijzer,63,GK,FC Utrecht,Eredivisie,NED,62,63,60,66,30,61,2,1
Berto Hórreo,63,GK,R. Oviedo,LaLiga SmartBank,ESP,62,64,59,63,34,61,3,1
João Gonçalves,63,GK,Boavista FC,Liga NOS,POR,62,64,57,56,28,67,2,1
Anatoliy Trubin,63,GK,Shakhtar Donetsk,Ukrayina Liha,UKR,55,67,57,63,30,69,2,1
Aljaž Ivačič,63,GK,Portland Timbers,MLS,SVN,64,65,60,65,37,63,3,1
Alberto,63,GK,CD Mirandés,LaLiga SmartBank,ESP,62,65,56,61,29,66,3,1
Brent Gabriël,63,GK,Waasland-Beveren,1A Pro League,BEL,67,58,59,69,30,57,3,1
Arda Akbulut,63,GK,Trabzonspor,Süper Lig,TUR,65,61,59,68,33,64,3,1
Branislav Pindroch,63,GK,Raków Częstochowa,PKO Ekstraklasa,SVK,65,60,60,63,30,64,2,1
Michael Lansing,63,GK,AC Horsens,3F Superliga,USA,62,65,64,62,49,61,3,1
Mirko Kos,63,GK,FK Austria Wien,Ö. Bundesliga,AT,64,59,57,68,41,59,3,1
Tom Müller,63,GK,Hallescher FC,3. Liga,GER,65,59,59,67,33,61,2,1
Hirotsugu Nakabayashi,63,GK,Yokohama F・Marinos,Meiji Yasuda J1,JAP,65,60,66,67,22,63,3,1
Ramón ten Hove,63,GK,Feyenoord,Eredivisie,NED,60,65,48,64,26,64,2,1
Miguel Santos,63,GK,AFC Astra Giurgiu,Liga I,POR,65,67,65,64,21,64,1,1
Alfie Whiteman,63,GK,Tottenham Hotspur,Premier League,ENG,66,61,59,66,32,62,2,1
Juan Cruz Bolado,63,GK,Godoy Cruz,Primera División,ARG,67,60,55,64,27,63,2,1
Dani Cárdenas,63,GK,Levante UD,LaLiga Santander,ESP,60,62,58,69,37,55,3,1
Yehvann Diouf,63,GK,Stade de Reims,Ligue 1 Uber Eats,FRA,64,64,60,63,45,62,3,1
Luke Southwood,63,GK,Reading,EFL Championship,ENG,65,64,66,62,56,62,3,1
Sven Müller,63,GK,Hallescher FC,3. Liga,GER,63,66,54,67,20,62,2,1
Robby McCrorie,63,GK,Livingston FC,Scottish Prem,SCO,62,64,63,67,32,62,3,1
